URL,Issue_Type,Issue_Description,Severity_Score,Recommendation,Title_Issues,Meta_Issues,Heading_Issues,Image_Issues,Technical_Issues,OpenGraph_Issues,Twitter_Card_Issues,Schema_Issues,Performance_Issues
https://www.pharmacymentor.com/testimonials/,H1_MISSING,H1 heading is missing,85,Add a descriptive H1 heading to the page,,,,,,,,,
https://www.pharmacymentor.com/testimonials/,HEADING_HIERARCHY_BROKEN,Heading hierarchy is broken (skipped levels),55,"Maintain proper heading hierarchy (H1 > H2 > H3, etc.)",,,Heading hierarchy is broken (skipped levels),,,,,,
https://www.pharmacymentor.com/testimonials/,IMAGES_MISSING_ALT,2 images missing alt text,75,Add descriptive alt text to all images for accessibility and SEO,,,,2 images missing alt text,,,,,
https://www.pharmacymentor.com/testimonials/,IMAGE_OPTIMIZATION_NEEDED,Consider optimizing images for web,45,Compress images and use modern formats (WebP) for better performance,,,,Consider optimizing images for web,,,,,
https://www.pharmacymentor.com/testimonials/,PERFORMANCE_CHECK_NEEDED,Consider running detailed performance audit,25,Use tools like Lighthouse to check Core Web Vitals,,,,,,,,,Consider running detailed performance audit
https://www.pharmacymentor.com/a-practical-guide-to-the-quality-payment-scheme-201718/,TITLE_TOO_LONG,Title is too long (73 characters),75,Keep title under 60 characters for optimal search result display,Title is too long (73 characters),,,,,,,,
https://www.pharmacymentor.com/a-practical-guide-to-the-quality-payment-scheme-201718/,MULTIPLE_H1,Multiple H1 headings found (4),65,"Use only one H1 per page, use H2-H6 for subheadings",,,,,,,,,
https://www.pharmacymentor.com/a-practical-guide-to-the-quality-payment-scheme-201718/,HEADING_HIERARCHY_BROKEN,Heading hierarchy is broken (skipped levels),55,"Maintain proper heading hierarchy (H1 > H2 > H3, etc.)",,,Heading hierarchy is broken (skipped levels),,,,,,
https://www.pharmacymentor.com/a-practical-guide-to-the-quality-payment-scheme-201718/,IMAGES_MISSING_ALT,4 images missing alt text,75,Add descriptive alt text to all images for accessibility and SEO,,,,4 images missing alt text,,,,,
https://www.pharmacymentor.com/a-practical-guide-to-the-quality-payment-scheme-201718/,IMAGE_OPTIMIZATION_NEEDED,Consider optimizing images for web,45,Compress images and use modern formats (WebP) for better performance,,,,Consider optimizing images for web,,,,,
https://www.pharmacymentor.com/a-practical-guide-to-the-quality-payment-scheme-201718/,PERFORMANCE_CHECK_NEEDED,Consider running detailed performance audit,25,Use tools like Lighthouse to check Core Web Vitals,,,,,,,,,Consider running detailed performance audit
https://www.pharmacymentor.com/social-media-local-healthcare/,TITLE_TOO_LONG,Title is too long (76 characters),75,Keep title under 60 characters for optimal search result display,Title is too long (76 characters),,,,,,,,
https://www.pharmacymentor.com/social-media-local-healthcare/,TITLE_DUPLICATE_WORDS,Title contains duplicate words,45,Remove duplicate words from title for better readability,Title contains duplicate words,,,,,,,,
https://www.pharmacymentor.com/social-media-local-healthcare/,TITLE_DUPLICATE_WORDS,Title contains duplicate words,45,Remove duplicate words from title for better readability,Title contains duplicate words,,,,,,,,
https://www.pharmacymentor.com/social-media-local-healthcare/,HEADING_HIERARCHY_BROKEN,Heading hierarchy is broken (skipped levels),55,"Maintain proper heading hierarchy (H1 > H2 > H3, etc.)",,,Heading hierarchy is broken (skipped levels),,,,,,
https://www.pharmacymentor.com/social-media-local-healthcare/,IMAGES_MISSING_ALT,3 images missing alt text,75,Add descriptive alt text to all images for accessibility and SEO,,,,3 images missing alt text,,,,,
https://www.pharmacymentor.com/social-media-local-healthcare/,IMAGE_OPTIMIZATION_NEEDED,Consider optimizing images for web,45,Compress images and use modern formats (WebP) for better performance,,,,Consider optimizing images for web,,,,,
https://www.pharmacymentor.com/social-media-local-healthcare/,PERFORMANCE_CHECK_NEEDED,Consider running detailed performance audit,25,Use tools like Lighthouse to check Core Web Vitals,,,,,,,,,Consider running detailed performance audit
https://www.pharmacymentor.com/pharmacy-marketing-strategy/,HEADING_HIERARCHY_BROKEN,Heading hierarchy is broken (skipped levels),55,"Maintain proper heading hierarchy (H1 > H2 > H3, etc.)",,,Heading hierarchy is broken (skipped levels),,,,,,
https://www.pharmacymentor.com/pharmacy-marketing-strategy/,IMAGES_MISSING_ALT,6 images missing alt text,75,Add descriptive alt text to all images for accessibility and SEO,,,,6 images missing alt text,,,,,
https://www.pharmacymentor.com/pharmacy-marketing-strategy/,IMAGE_OPTIMIZATION_NEEDED,Consider optimizing images for web,45,Compress images and use modern formats (WebP) for better performance,,,,Consider optimizing images for web,,,,,
https://www.pharmacymentor.com/pharmacy-marketing-strategy/,PERFORMANCE_CHECK_NEEDED,Consider running detailed performance audit,25,Use tools like Lighthouse to check Core Web Vitals,,,,,,,,,Consider running detailed performance audit
https://www.pharmacymentor.com/pharmacy-business-and-innovation/,H1_MISSING,H1 heading is missing,85,Add a descriptive H1 heading to the page,,,,,,,,,
https://www.pharmacymentor.com/pharmacy-business-and-innovation/,HEADING_HIERARCHY_BROKEN,Heading hierarchy is broken (skipped levels),55,"Maintain proper heading hierarchy (H1 > H2 > H3, etc.)",,,Heading hierarchy is broken (skipped levels),,,,,,
https://www.pharmacymentor.com/pharmacy-business-and-innovation/,IMAGES_MISSING_ALT,9 images missing alt text,75,Add descriptive alt text to all images for accessibility and SEO,,,,9 images missing alt text,,,,,
https://www.pharmacymentor.com/pharmacy-business-and-innovation/,IMAGE_OPTIMIZATION_NEEDED,Consider optimizing images for web,45,Compress images and use modern formats (WebP) for better performance,,,,Consider optimizing images for web,,,,,
https://www.pharmacymentor.com/pharmacy-business-and-innovation/,PERFORMANCE_CHECK_NEEDED,Consider running detailed performance audit,25,Use tools like Lighthouse to check Core Web Vitals,,,,,,,,,Consider running detailed performance audit
https://www.pharmacymentor.com/pharmacy-practice/,TITLE_TOO_LONG,Title is too long (67 characters),75,Keep title under 60 characters for optimal search result display,Title is too long (67 characters),,,,,,,,
https://www.pharmacymentor.com/pharmacy-practice/,H1_MISSING,H1 heading is missing,85,Add a descriptive H1 heading to the page,,,,,,,,,
https://www.pharmacymentor.com/pharmacy-practice/,HEADING_HIERARCHY_BROKEN,Heading hierarchy is broken (skipped levels),55,"Maintain proper heading hierarchy (H1 > H2 > H3, etc.)",,,Heading hierarchy is broken (skipped levels),,,,,,
https://www.pharmacymentor.com/pharmacy-practice/,IMAGES_MISSING_ALT,5 images missing alt text,75,Add descriptive alt text to all images for accessibility and SEO,,,,5 images missing alt text,,,,,
https://www.pharmacymentor.com/pharmacy-practice/,IMAGE_OPTIMIZATION_NEEDED,Consider optimizing images for web,45,Compress images and use modern formats (WebP) for better performance,,,,Consider optimizing images for web,,,,,
https://www.pharmacymentor.com/pharmacy-practice/,PERFORMANCE_CHECK_NEEDED,Consider running detailed performance audit,25,Use tools like Lighthouse to check Core Web Vitals,,,,,,,,,Consider running detailed performance audit
https://www.pharmacymentor.com/pharmacy-mailshot-service/,TITLE_TOO_LONG,Title is too long (76 characters),75,Keep title under 60 characters for optimal search result display,Title is too long (76 characters),,,,,,,,
https://www.pharmacymentor.com/pharmacy-mailshot-service/,TITLE_DUPLICATE_WORDS,Title contains duplicate words,45,Remove duplicate words from title for better readability,Title contains duplicate words,,,,,,,,
https://www.pharmacymentor.com/pharmacy-mailshot-service/,HEADING_HIERARCHY_BROKEN,Heading hierarchy is broken (skipped levels),55,"Maintain proper heading hierarchy (H1 > H2 > H3, etc.)",,,Heading hierarchy is broken (skipped levels),,,,,,
https://www.pharmacymentor.com/pharmacy-mailshot-service/,IMAGES_MISSING_ALT,6 images missing alt text,75,Add descriptive alt text to all images for accessibility and SEO,,,,6 images missing alt text,,,,,
https://www.pharmacymentor.com/pharmacy-mailshot-service/,IMAGE_OPTIMIZATION_NEEDED,Consider optimizing images for web,45,Compress images and use modern formats (WebP) for better performance,,,,Consider optimizing images for web,,,,,
https://www.pharmacymentor.com/pharmacy-mailshot-service/,PERFORMANCE_CHECK_NEEDED,Consider running detailed performance audit,25,Use tools like Lighthouse to check Core Web Vitals,,,,,,,,,Consider running detailed performance audit
https://www.pharmacymentor.com/video-production-pharmacy-healthcare/,TITLE_TOO_LONG,Title is too long (68 characters),75,Keep title under 60 characters for optimal search result display,Title is too long (68 characters),,,,,,,,
https://www.pharmacymentor.com/video-production-pharmacy-healthcare/,HEADING_HIERARCHY_BROKEN,Heading hierarchy is broken (skipped levels),55,"Maintain proper heading hierarchy (H1 > H2 > H3, etc.)",,,Heading hierarchy is broken (skipped levels),,,,,,
https://www.pharmacymentor.com/video-production-pharmacy-healthcare/,IMAGES_MISSING_ALT,8 images missing alt text,75,Add descriptive alt text to all images for accessibility and SEO,,,,8 images missing alt text,,,,,
https://www.pharmacymentor.com/video-production-pharmacy-healthcare/,IMAGE_OPTIMIZATION_NEEDED,Consider optimizing images for web,45,Compress images and use modern formats (WebP) for better performance,,,,Consider optimizing images for web,,,,,
https://www.pharmacymentor.com/video-production-pharmacy-healthcare/,PERFORMANCE_CHECK_NEEDED,Consider running detailed performance audit,25,Use tools like Lighthouse to check Core Web Vitals,,,,,,,,,Consider running detailed performance audit
https://www.pharmacymentor.com/flu-jab-marketing-order-form/,META_DESC_MISSING,Meta description is missing,85,Add a compelling meta description (150-165 characters),,Meta description is missing,,,,,,,
https://www.pharmacymentor.com/flu-jab-marketing-order-form/,HEADING_HIERARCHY_BROKEN,Heading hierarchy is broken (skipped levels),55,"Maintain proper heading hierarchy (H1 > H2 > H3, etc.)",,,Heading hierarchy is broken (skipped levels),,,,,,
https://www.pharmacymentor.com/flu-jab-marketing-order-form/,IMAGES_MISSING_ALT,2 images missing alt text,75,Add descriptive alt text to all images for accessibility and SEO,,,,2 images missing alt text,,,,,
https://www.pharmacymentor.com/flu-jab-marketing-order-form/,IMAGE_OPTIMIZATION_NEEDED,Consider optimizing images for web,45,Compress images and use modern formats (WebP) for better performance,,,,Consider optimizing images for web,,,,,
https://www.pharmacymentor.com/flu-jab-marketing-order-form/,OG_DESCRIPTION_MISSING,Open Graph description missing,45,Add og:description for better social media sharing,,,,,,,,,
https://www.pharmacymentor.com/flu-jab-marketing-order-form/,OG_IMAGE_MISSING,Open Graph image missing,45,Add og:image for better social media sharing,,,,Open Graph image missing,,,,,
https://www.pharmacymentor.com/flu-jab-marketing-order-form/,PERFORMANCE_CHECK_NEEDED,Consider running detailed performance audit,25,Use tools like Lighthouse to check Core Web Vitals,,,,,,,,,Consider running detailed performance audit
https://www.pharmacymentor.com/pharmaself24-marketing/,TITLE_TOO_LONG,Title is too long (83 characters),75,Keep title under 60 characters for optimal search result display,Title is too long (83 characters),,,,,,,,
https://www.pharmacymentor.com/pharmaself24-marketing/,HEADING_HIERARCHY_BROKEN,Heading hierarchy is broken (skipped levels),55,"Maintain proper heading hierarchy (H1 > H2 > H3, etc.)",,,Heading hierarchy is broken (skipped levels),,,,,,
https://www.pharmacymentor.com/pharmaself24-marketing/,IMAGES_MISSING_ALT,6 images missing alt text,75,Add descriptive alt text to all images for accessibility and SEO,,,,6 images missing alt text,,,,,
https://www.pharmacymentor.com/pharmaself24-marketing/,IMAGE_OPTIMIZATION_NEEDED,Consider optimizing images for web,45,Compress images and use modern formats (WebP) for better performance,,,,Consider optimizing images for web,,,,,
https://www.pharmacymentor.com/pharmaself24-marketing/,PERFORMANCE_CHECK_NEEDED,Consider running detailed performance audit,25,Use tools like Lighthouse to check Core Web Vitals,,,,,,,,,Consider running detailed performance audit
https://www.pharmacymentor.com/eps-prescription-signup-marketing/,TITLE_TOO_LONG,Title is too long (66 characters),75,Keep title under 60 characters for optimal search result display,Title is too long (66 characters),,,,,,,,
https://www.pharmacymentor.com/eps-prescription-signup-marketing/,HEADING_HIERARCHY_BROKEN,Heading hierarchy is broken (skipped levels),55,"Maintain proper heading hierarchy (H1 > H2 > H3, etc.)",,,Heading hierarchy is broken (skipped levels),,,,,,
https://www.pharmacymentor.com/eps-prescription-signup-marketing/,IMAGES_MISSING_ALT,10 images missing alt text,75,Add descriptive alt text to all images for accessibility and SEO,,,,10 images missing alt text,,,,,
https://www.pharmacymentor.com/eps-prescription-signup-marketing/,IMAGE_OPTIMIZATION_NEEDED,Consider optimizing images for web,45,Compress images and use modern formats (WebP) for better performance,,,,Consider optimizing images for web,,,,,
https://www.pharmacymentor.com/eps-prescription-signup-marketing/,PERFORMANCE_CHECK_NEEDED,Consider running detailed performance audit,25,Use tools like Lighthouse to check Core Web Vitals,,,,,,,,,Consider running detailed performance audit
https://www.pharmacymentor.com/local-newspaper-campaign/,TITLE_TOO_LONG,Title is too long (64 characters),75,Keep title under 60 characters for optimal search result display,Title is too long (64 characters),,,,,,,,
https://www.pharmacymentor.com/local-newspaper-campaign/,TITLE_DUPLICATE_WORDS,Title contains duplicate words,45,Remove duplicate words from title for better readability,Title contains duplicate words,,,,,,,,
https://www.pharmacymentor.com/local-newspaper-campaign/,HEADING_HIERARCHY_BROKEN,Heading hierarchy is broken (skipped levels),55,"Maintain proper heading hierarchy (H1 > H2 > H3, etc.)",,,Heading hierarchy is broken (skipped levels),,,,,,
https://www.pharmacymentor.com/local-newspaper-campaign/,IMAGES_MISSING_ALT,2 images missing alt text,75,Add descriptive alt text to all images for accessibility and SEO,,,,2 images missing alt text,,,,,
https://www.pharmacymentor.com/local-newspaper-campaign/,IMAGE_OPTIMIZATION_NEEDED,Consider optimizing images for web,45,Compress images and use modern formats (WebP) for better performance,,,,Consider optimizing images for web,,,,,
https://www.pharmacymentor.com/local-newspaper-campaign/,PERFORMANCE_CHECK_NEEDED,Consider running detailed performance audit,25,Use tools like Lighthouse to check Core Web Vitals,,,,,,,,,Consider running detailed performance audit
https://www.pharmacymentor.com/flyer-leaflet-poster-consultation-form/,META_DESC_MISSING,Meta description is missing,85,Add a compelling meta description (150-165 characters),,Meta description is missing,,,,,,,
https://www.pharmacymentor.com/flyer-leaflet-poster-consultation-form/,H1_MISSING,H1 heading is missing,85,Add a descriptive H1 heading to the page,,,,,,,,,
https://www.pharmacymentor.com/flyer-leaflet-poster-consultation-form/,HEADING_HIERARCHY_BROKEN,Heading hierarchy is broken (skipped levels),55,"Maintain proper heading hierarchy (H1 > H2 > H3, etc.)",,,Heading hierarchy is broken (skipped levels),,,,,,
https://www.pharmacymentor.com/flyer-leaflet-poster-consultation-form/,IMAGES_MISSING_ALT,3 images missing alt text,75,Add descriptive alt text to all images for accessibility and SEO,,,,3 images missing alt text,,,,,
https://www.pharmacymentor.com/flyer-leaflet-poster-consultation-form/,IMAGE_OPTIMIZATION_NEEDED,Consider optimizing images for web,45,Compress images and use modern formats (WebP) for better performance,,,,Consider optimizing images for web,,,,,
https://www.pharmacymentor.com/flyer-leaflet-poster-consultation-form/,OG_DESCRIPTION_MISSING,Open Graph description missing,45,Add og:description for better social media sharing,,,,,,,,,
https://www.pharmacymentor.com/flyer-leaflet-poster-consultation-form/,PERFORMANCE_CHECK_NEEDED,Consider running detailed performance audit,25,Use tools like Lighthouse to check Core Web Vitals,,,,,,,,,Consider running detailed performance audit
https://www.pharmacymentor.com/employee-feedback-form/,TITLE_TOO_SHORT,Title is too short (28 characters),65,Expand title to 30-60 characters for better SEO value,Title is too short (28 characters),,,,,,,,
https://www.pharmacymentor.com/employee-feedback-form/,META_DESC_MISSING,Meta description is missing,85,Add a compelling meta description (150-165 characters),,Meta description is missing,,,,,,,
https://www.pharmacymentor.com/employee-feedback-form/,H1_MISSING,H1 heading is missing,85,Add a descriptive H1 heading to the page,,,,,,,,,
https://www.pharmacymentor.com/employee-feedback-form/,HEADING_HIERARCHY_BROKEN,Heading hierarchy is broken (skipped levels),55,"Maintain proper heading hierarchy (H1 > H2 > H3, etc.)",,,Heading hierarchy is broken (skipped levels),,,,,,
https://www.pharmacymentor.com/employee-feedback-form/,IMAGES_MISSING_ALT,3 images missing alt text,75,Add descriptive alt text to all images for accessibility and SEO,,,,3 images missing alt text,,,,,
https://www.pharmacymentor.com/employee-feedback-form/,IMAGE_OPTIMIZATION_NEEDED,Consider optimizing images for web,45,Compress images and use modern formats (WebP) for better performance,,,,Consider optimizing images for web,,,,,
https://www.pharmacymentor.com/employee-feedback-form/,OG_DESCRIPTION_MISSING,Open Graph description missing,45,Add og:description for better social media sharing,,,,,,,,,
https://www.pharmacymentor.com/employee-feedback-form/,PERFORMANCE_CHECK_NEEDED,Consider running detailed performance audit,25,Use tools like Lighthouse to check Core Web Vitals,,,,,,,,,Consider running detailed performance audit
https://www.pharmacymentor.com/travel-clinic-marketing/,TITLE_TOO_LONG,Title is too long (62 characters),75,Keep title under 60 characters for optimal search result display,Title is too long (62 characters),,,,,,,,
https://www.pharmacymentor.com/travel-clinic-marketing/,H1_MISSING,H1 heading is missing,85,Add a descriptive H1 heading to the page,,,,,,,,,
https://www.pharmacymentor.com/travel-clinic-marketing/,HEADING_HIERARCHY_BROKEN,Heading hierarchy is broken (skipped levels),55,"Maintain proper heading hierarchy (H1 > H2 > H3, etc.)",,,Heading hierarchy is broken (skipped levels),,,,,,
https://www.pharmacymentor.com/travel-clinic-marketing/,IMAGES_MISSING_ALT,8 images missing alt text,75,Add descriptive alt text to all images for accessibility and SEO,,,,8 images missing alt text,,,,,
https://www.pharmacymentor.com/travel-clinic-marketing/,IMAGE_OPTIMIZATION_NEEDED,Consider optimizing images for web,45,Compress images and use modern formats (WebP) for better performance,,,,Consider optimizing images for web,,,,,
https://www.pharmacymentor.com/travel-clinic-marketing/,PERFORMANCE_CHECK_NEEDED,Consider running detailed performance audit,25,Use tools like Lighthouse to check Core Web Vitals,,,,,,,,,Consider running detailed performance audit
https://www.pharmacymentor.com/pharmacy-mentor-ambassador-application-form/,TITLE_TOO_LONG,Title is too long (71 characters),75,Keep title under 60 characters for optimal search result display,Title is too long (71 characters),,,,,,,,
https://www.pharmacymentor.com/pharmacy-mentor-ambassador-application-form/,TITLE_DUPLICATE_WORDS,Title contains duplicate words,45,Remove duplicate words from title for better readability,Title contains duplicate words,,,,,,,,
https://www.pharmacymentor.com/pharmacy-mentor-ambassador-application-form/,TITLE_DUPLICATE_WORDS,Title contains duplicate words,45,Remove duplicate words from title for better readability,Title contains duplicate words,,,,,,,,
https://www.pharmacymentor.com/pharmacy-mentor-ambassador-application-form/,H1_MISSING,H1 heading is missing,85,Add a descriptive H1 heading to the page,,,,,,,,,
https://www.pharmacymentor.com/pharmacy-mentor-ambassador-application-form/,HEADING_HIERARCHY_BROKEN,Heading hierarchy is broken (skipped levels),55,"Maintain proper heading hierarchy (H1 > H2 > H3, etc.)",,,Heading hierarchy is broken (skipped levels),,,,,,
https://www.pharmacymentor.com/pharmacy-mentor-ambassador-application-form/,IMAGES_MISSING_ALT,3 images missing alt text,75,Add descriptive alt text to all images for accessibility and SEO,,,,3 images missing alt text,,,,,
https://www.pharmacymentor.com/pharmacy-mentor-ambassador-application-form/,IMAGE_OPTIMIZATION_NEEDED,Consider optimizing images for web,45,Compress images and use modern formats (WebP) for better performance,,,,Consider optimizing images for web,,,,,
https://www.pharmacymentor.com/pharmacy-mentor-ambassador-application-form/,PERFORMANCE_CHECK_NEEDED,Consider running detailed performance audit,25,Use tools like Lighthouse to check Core Web Vitals,,,,,,,,,Consider running detailed performance audit
https://www.pharmacymentor.com/healthera/,META_DESC_MISSING,Meta description is missing,85,Add a compelling meta description (150-165 characters),,Meta description is missing,,,,,,,
https://www.pharmacymentor.com/healthera/,HEADING_HIERARCHY_BROKEN,Heading hierarchy is broken (skipped levels),55,"Maintain proper heading hierarchy (H1 > H2 > H3, etc.)",,,Heading hierarchy is broken (skipped levels),,,,,,
https://www.pharmacymentor.com/healthera/,IMAGES_MISSING_ALT,3 images missing alt text,75,Add descriptive alt text to all images for accessibility and SEO,,,,3 images missing alt text,,,,,
https://www.pharmacymentor.com/healthera/,IMAGE_OPTIMIZATION_NEEDED,Consider optimizing images for web,45,Compress images and use modern formats (WebP) for better performance,,,,Consider optimizing images for web,,,,,
https://www.pharmacymentor.com/healthera/,OG_DESCRIPTION_MISSING,Open Graph description missing,45,Add og:description for better social media sharing,,,,,,,,,
https://www.pharmacymentor.com/healthera/,PERFORMANCE_CHECK_NEEDED,Consider running detailed performance audit,25,Use tools like Lighthouse to check Core Web Vitals,,,,,,,,,Consider running detailed performance audit
https://www.pharmacymentor.com/aesthetics-marketing-2/,TITLE_TOO_LONG,Title is too long (65 characters),75,Keep title under 60 characters for optimal search result display,Title is too long (65 characters),,,,,,,,
https://www.pharmacymentor.com/aesthetics-marketing-2/,HEADING_HIERARCHY_BROKEN,Heading hierarchy is broken (skipped levels),55,"Maintain proper heading hierarchy (H1 > H2 > H3, etc.)",,,Heading hierarchy is broken (skipped levels),,,,,,
https://www.pharmacymentor.com/aesthetics-marketing-2/,IMAGES_MISSING_ALT,5 images missing alt text,75,Add descriptive alt text to all images for accessibility and SEO,,,,5 images missing alt text,,,,,
https://www.pharmacymentor.com/aesthetics-marketing-2/,IMAGE_OPTIMIZATION_NEEDED,Consider optimizing images for web,45,Compress images and use modern formats (WebP) for better performance,,,,Consider optimizing images for web,,,,,
https://www.pharmacymentor.com/aesthetics-marketing-2/,PERFORMANCE_CHECK_NEEDED,Consider running detailed performance audit,25,Use tools like Lighthouse to check Core Web Vitals,,,,,,,,,Consider running detailed performance audit
https://www.pharmacymentor.com/pharmacy-branding/,HEADING_HIERARCHY_BROKEN,Heading hierarchy is broken (skipped levels),55,"Maintain proper heading hierarchy (H1 > H2 > H3, etc.)",,,Heading hierarchy is broken (skipped levels),,,,,,
https://www.pharmacymentor.com/pharmacy-branding/,IMAGES_MISSING_ALT,5 images missing alt text,75,Add descriptive alt text to all images for accessibility and SEO,,,,5 images missing alt text,,,,,
https://www.pharmacymentor.com/pharmacy-branding/,IMAGE_OPTIMIZATION_NEEDED,Consider optimizing images for web,45,Compress images and use modern formats (WebP) for better performance,,,,Consider optimizing images for web,,,,,
https://www.pharmacymentor.com/pharmacy-branding/,PERFORMANCE_CHECK_NEEDED,Consider running detailed performance audit,25,Use tools like Lighthouse to check Core Web Vitals,,,,,,,,,Consider running detailed performance audit
https://www.pharmacymentor.com/lp-become-a-teacher/,META_DESC_MISSING,Meta description is missing,85,Add a compelling meta description (150-165 characters),,Meta description is missing,,,,,,,
https://www.pharmacymentor.com/lp-become-a-teacher/,H1_MISSING,H1 heading is missing,85,Add a descriptive H1 heading to the page,,,,,,,,,
https://www.pharmacymentor.com/lp-become-a-teacher/,IMAGES_MISSING_ALT,2 images missing alt text,75,Add descriptive alt text to all images for accessibility and SEO,,,,2 images missing alt text,,,,,
https://www.pharmacymentor.com/lp-become-a-teacher/,IMAGE_OPTIMIZATION_NEEDED,Consider optimizing images for web,45,Compress images and use modern formats (WebP) for better performance,,,,Consider optimizing images for web,,,,,
https://www.pharmacymentor.com/lp-become-a-teacher/,OG_DESCRIPTION_MISSING,Open Graph description missing,45,Add og:description for better social media sharing,,,,,,,,,
https://www.pharmacymentor.com/lp-become-a-teacher/,OG_IMAGE_MISSING,Open Graph image missing,45,Add og:image for better social media sharing,,,,Open Graph image missing,,,,,
https://www.pharmacymentor.com/lp-become-a-teacher/,PERFORMANCE_CHECK_NEEDED,Consider running detailed performance audit,25,Use tools like Lighthouse to check Core Web Vitals,,,,,,,,,Consider running detailed performance audit
https://www.pharmacymentor.com/lp-become-a-teacher/,CONTENT_TOO_SHORT,Page content is very short (158 words),55,Add more valuable content (aim for 300+ words),,,,,,,,,
https://www.pharmacymentor.com/mailshot-quote/,META_DESC_MISSING,Meta description is missing,85,Add a compelling meta description (150-165 characters),,Meta description is missing,,,,,,,
https://www.pharmacymentor.com/mailshot-quote/,H1_MISSING,H1 heading is missing,85,Add a descriptive H1 heading to the page,,,,,,,,,
https://www.pharmacymentor.com/mailshot-quote/,HEADING_HIERARCHY_BROKEN,Heading hierarchy is broken (skipped levels),55,"Maintain proper heading hierarchy (H1 > H2 > H3, etc.)",,,Heading hierarchy is broken (skipped levels),,,,,,
https://www.pharmacymentor.com/mailshot-quote/,IMAGES_MISSING_ALT,4 images missing alt text,75,Add descriptive alt text to all images for accessibility and SEO,,,,4 images missing alt text,,,,,
https://www.pharmacymentor.com/mailshot-quote/,IMAGE_OPTIMIZATION_NEEDED,Consider optimizing images for web,45,Compress images and use modern formats (WebP) for better performance,,,,Consider optimizing images for web,,,,,
https://www.pharmacymentor.com/mailshot-quote/,OG_DESCRIPTION_MISSING,Open Graph description missing,45,Add og:description for better social media sharing,,,,,,,,,
https://www.pharmacymentor.com/mailshot-quote/,PERFORMANCE_CHECK_NEEDED,Consider running detailed performance audit,25,Use tools like Lighthouse to check Core Web Vitals,,,,,,,,,Consider running detailed performance audit
https://www.pharmacymentor.com/consultation-form-1/,META_DESC_MISSING,Meta description is missing,85,Add a compelling meta description (150-165 characters),,Meta description is missing,,,,,,,
https://www.pharmacymentor.com/consultation-form-1/,H1_MISSING,H1 heading is missing,85,Add a descriptive H1 heading to the page,,,,,,,,,
https://www.pharmacymentor.com/consultation-form-1/,HEADING_HIERARCHY_BROKEN,Heading hierarchy is broken (skipped levels),55,"Maintain proper heading hierarchy (H1 > H2 > H3, etc.)",,,Heading hierarchy is broken (skipped levels),,,,,,
https://www.pharmacymentor.com/consultation-form-1/,IMAGES_MISSING_ALT,3 images missing alt text,75,Add descriptive alt text to all images for accessibility and SEO,,,,3 images missing alt text,,,,,
https://www.pharmacymentor.com/consultation-form-1/,IMAGE_OPTIMIZATION_NEEDED,Consider optimizing images for web,45,Compress images and use modern formats (WebP) for better performance,,,,Consider optimizing images for web,,,,,
https://www.pharmacymentor.com/consultation-form-1/,OG_DESCRIPTION_MISSING,Open Graph description missing,45,Add og:description for better social media sharing,,,,,,,,,
